timestamp,open,high,low,close,volume
2026-05-27 11:19:00,1890.0,1890.0,1890.0,1890.0,0
2026-05-29 15:15:00,1984.5,1984.5,1984.5,1984.5,0
2026-06-02 10:37:00,700.0,700.0,617.7,617.7,1
2026-06-02 10:38:00,654.85,665.0,654.85,664.1,16
2026-06-02 10:39:00,668.3,669.85,668.3,669.75,3
2026-06-02 10:51:00,630.6,630.6,630.6,630.6,1
2026-06-02 10:52:00,628.05,628.05,621.9,621.9,3
2026-06-02 10:53:00,613.75,613.75,613.75,613.75,1
2026-06-02 10:55:00,612.45,612.45,602.25,602.25,2
2026-06-02 14:41:00,828.2,828.2,828.2,828.2,1
2026-06-02 14:58:00,792.35,793.6,792.35,793.6,2
2026-06-02 15:06:00,865.65,865.65,864.2,864.2,2
2026-06-02 15:20:00,890.8,890.8,890.8,890.8,1
2026-06-02 15:21:00,889.95,889.95,889.95,889.95,1
2026-06-03 12:32:00,578.0,578.0,572.9,572.9,1
2026-06-03 12:34:00,575.95,575.95,575.95,575.95,1
2026-06-03 12:36:00,642.95,642.95,642.95,642.95,1
2026-06-03 14:22:00,846.5,846.5,846.5,846.5,1
2026-06-03 14:24:00,871.85,878.45,871.85,877.5,4
2026-06-03 14:56:00,863.9,878.8,863.9,877.9,3
2026-06-03 15:04:00,854.3,854.3,854.3,854.3,1
2026-06-03 15:05:00,855.55,855.55,855.55,855.55,1
2026-06-05 09:23:00,710.0,710.0,710.0,710.0,0
2026-06-05 09:31:00,732.3,732.3,732.3,732.3,10
2026-06-05 09:32:00,715.0,720.0,715.0,720.0,3
2026-06-05 09:33:00,715.0,715.0,695.0,700.0,4
2026-06-05 09:34:00,705.0,705.0,705.0,705.0,1
2026-06-05 10:03:00,707.4,707.4,707.4,707.4,1
2026-06-05 10:10:00,745.0,745.0,745.0,745.0,10
2026-06-05 10:15:00,710.0,710.0,700.0,700.0,5
2026-06-05 10:21:00,695.0,695.0,695.0,695.0,2
2026-06-05 10:23:00,730.0,730.0,730.0,730.0,11
2026-06-05 10:35:00,640.0,640.0,640.0,640.0,4
2026-06-05 10:36:00,620.0,620.05,618.35,618.35,4
2026-06-05 10:52:00,605.0,605.0,605.0,605.0,2
2026-06-05 10:53:00,607.4,607.4,606.6,606.6,2
2026-06-05 10:58:00,602.25,602.25,602.25,602.25,1
2026-06-05 11:00:00,628.25,628.25,628.25,628.25,1
2026-06-05 11:03:00,649.0,649.0,649.0,649.0,2
2026-06-05 11:13:00,700.0,700.0,700.0,700.0,2
2026-06-05 11:15:00,690.0,690.0,690.0,690.0,1
2026-06-05 12:15:00,670.0,670.0,670.0,670.0,1
2026-06-05 12:19:00,665.9,665.9,665.9,665.9,1
2026-06-05 12:39:00,625.0,625.0,625.0,625.0,1
2026-06-05 13:11:00,594.95,594.95,594.95,594.95,1
2026-06-05 13:25:00,565.05,565.05,565.05,565.05,1
2026-06-05 13:28:00,563.0,563.0,563.0,563.0,1
2026-06-05 13:32:00,563.0,563.0,563.0,563.0,1
2026-06-05 13:34:00,545.0,545.0,545.0,545.0,5
2026-06-05 13:44:00,540.75,540.75,540.75,540.75,1
2026-06-05 13:48:00,545.05,545.05,545.05,545.05,1
2026-06-05 14:24:00,565.0,565.0,565.0,565.0,1
2026-06-05 14:25:00,565.0,565.0,565.0,565.0,1
2026-06-05 14:43:00,605.0,621.7,605.0,609.55,36
2026-06-05 14:44:00,649.95,649.95,649.95,649.95,1
2026-06-05 14:45:00,656.0,656.0,656.0,656.0,1
2026-06-05 14:47:00,656.0,656.0,656.0,656.0,1
2026-06-05 14:48:00,639.95,639.95,639.95,639.95,1
2026-06-05 14:57:00,568.8,568.8,568.8,568.8,1
2026-06-05 14:58:00,586.8,586.8,586.8,586.8,1
2026-06-05 14:59:00,591.8,591.8,590.3,590.3,2
2026-06-05 15:00:00,587.35,587.35,587.35,587.35,2
2026-06-05 15:01:00,561.8,561.8,561.8,561.8,2
2026-06-05 15:02:00,572.6,572.6,572.6,572.6,1
2026-06-05 15:07:00,588.8,588.8,588.8,588.8,1
2026-06-05 15:16:00,600.05,600.05,600.05,600.05,1
2026-06-05 15:22:00,599.25,599.25,599.25,599.25,1
2026-06-05 15:25:00,595.0,595.0,595.0,595.0,1
2026-06-08 09:50:00,355.0,355.0,355.0,355.0,0
2026-06-08 10:40:00,405.1,405.1,405.1,405.1,1
2026-06-08 11:47:00,390.95,390.95,390.95,390.95,1
2026-06-08 11:53:00,390.95,390.95,390.95,390.95,1
2026-06-08 12:13:00,379.2,379.2,379.2,379.2,9
2026-06-08 12:33:00,398.1,398.1,398.1,398.1,1
2026-06-08 12:34:00,386.5,386.5,386.5,386.5,1
2026-06-08 12:37:00,385.45,385.45,385.45,385.45,1
2026-06-08 12:40:00,395.15,395.15,395.15,395.15,1
2026-06-08 12:41:00,395.1,395.1,395.1,395.1,1
2026-06-08 12:43:00,398.75,398.75,395.7,395.9,7
2026-06-08 12:51:00,429.95,429.95,429.95,429.95,2
2026-06-08 12:52:00,425.0,425.0,425.0,425.0,1
2026-06-08 12:54:00,415.0,415.0,415.0,415.0,2
2026-06-08 12:57:00,425.0,425.0,425.0,425.0,4
2026-06-08 13:05:00,393.3,393.3,393.3,393.3,4
2026-06-08 13:24:00,381.4,381.4,381.4,381.4,1
2026-06-08 13:38:00,384.55,384.55,384.55,384.55,1
2026-06-08 13:40:00,368.0,368.0,368.0,368.0,5
2026-06-08 13:41:00,367.65,367.65,367.65,367.65,1
2026-06-08 13:46:00,340.0,340.0,340.0,340.0,1
2026-06-08 14:30:00,348.0,348.0,348.0,348.0,1
2026-06-08 14:44:00,348.0,348.0,348.0,348.0,1
2026-06-08 14:59:00,360.0,360.0,360.0,360.0,1
2026-06-08 15:00:00,330.0,330.0,330.0,330.0,1
2026-06-08 15:06:00,311.9,311.9,311.9,311.9,1
2026-06-08 15:07:00,315.05,315.05,315.05,315.05,1
2026-06-08 15:22:00,312.7,312.7,312.7,312.7,1
2026-06-08 15:24:00,290.0,290.0,290.0,290.0,1
2026-06-08 15:28:00,300.0,300.0,300.0,300.0,5
2026-06-08 15:29:00,302.65,302.65,302.65,302.65,3
2026-06-09 09:18:00,320.45,320.45,320.45,320.45,0
2026-06-09 09:20:00,318.0,318.0,318.0,318.0,1
2026-06-09 09:22:00,315.1,315.1,310.0,313.95,14
2026-06-09 09:25:00,313.95,313.95,313.95,313.95,1
2026-06-09 09:27:00,313.95,313.95,313.95,313.95,1
2026-06-09 09:29:00,303.0,303.0,303.0,303.0,1
2026-06-09 09:31:00,313.15,313.15,313.15,313.15,5
2026-06-09 09:32:00,315.0,315.0,315.0,315.0,18
2026-06-09 09:33:00,315.0,315.0,308.2,308.25,20
2026-06-09 09:34:00,310.7,310.7,310.7,310.7,1
2026-06-09 09:37:00,296.0,296.0,296.0,296.0,2
2026-06-09 09:43:00,283.35,283.35,283.35,283.35,1
2026-06-09 09:45:00,286.95,286.95,286.95,286.95,1
2026-06-09 09:48:00,297.05,297.05,297.05,297.05,9
2026-06-09 09:49:00,281.8,281.8,280.0,280.0,2
2026-06-09 09:50:00,277.65,277.65,277.65,277.65,2
2026-06-09 09:57:00,276.85,276.85,276.85,276.85,3
2026-06-09 09:58:00,279.2,279.2,277.05,277.05,5
2026-06-09 09:59:00,270.0,270.0,270.0,270.0,2
2026-06-09 10:09:00,270.0,270.0,270.0,270.0,4
2026-06-09 10:22:00,260.0,260.0,260.0,260.0,1
2026-06-09 10:27:00,260.0,260.0,260.0,260.0,2
2026-06-09 10:40:00,253.5,253.5,253.5,253.5,2
2026-06-09 10:41:00,253.5,255.05,253.5,255.05,2
2026-06-09 11:05:00,253.6,253.6,253.6,253.6,1
2026-06-09 11:17:00,247.55,247.55,247.55,247.55,1
