timestamp,open,high,low,close,volume
2026-05-14 09:15:00,411.25,411.25,411.25,411.25,0
2026-05-14 09:22:00,325.0,325.0,325.0,325.0,1
2026-05-14 09:29:00,312.0,312.0,305.45,305.45,4
2026-05-14 09:33:00,308.0,308.0,308.0,308.0,1
2026-05-14 09:35:00,315.05,315.05,315.05,315.05,1
2026-05-14 09:40:00,335.0,335.0,335.0,335.0,1
2026-05-14 09:45:00,345.0,345.0,345.0,345.0,1
2026-05-14 09:52:00,355.2,355.2,355.2,355.2,1
2026-05-14 09:56:00,380.0,380.0,380.0,380.0,1
2026-05-14 09:57:00,378.0,378.0,377.0,377.0,2
2026-05-14 09:59:00,387.7,395.85,387.7,395.85,3
2026-05-14 10:03:00,372.0,372.0,372.0,372.0,1
2026-05-14 10:05:00,370.0,370.0,370.0,370.0,1
2026-05-14 10:11:00,364.35,364.35,357.9,357.9,2
2026-05-14 10:31:00,332.0,332.0,332.0,332.0,1
2026-05-14 10:32:00,339.5,339.5,339.5,339.5,1
2026-05-14 11:15:00,362.0,362.0,362.0,362.0,1
2026-05-14 11:22:00,344.35,344.35,344.35,344.35,1
2026-05-14 11:23:00,346.0,346.0,344.0,344.0,4
2026-05-14 11:27:00,351.7,351.7,351.7,351.7,1
2026-05-14 11:33:00,342.9,342.9,342.9,342.9,1
2026-05-14 11:35:00,336.9,336.9,336.9,336.9,1
2026-05-14 11:41:00,330.0,330.0,330.0,330.0,1
2026-05-14 11:44:00,328.5,328.5,328.5,328.5,1
2026-05-14 11:45:00,318.45,318.45,318.45,318.45,1
2026-05-14 11:47:00,323.6,323.6,323.6,323.6,1
2026-05-14 11:50:00,319.0,319.0,314.4,314.4,3
2026-05-14 11:51:00,314.4,314.4,314.4,314.4,1
2026-05-14 12:00:00,314.4,314.4,314.4,314.4,1
2026-05-14 12:05:00,319.4,319.4,319.4,319.4,1
2026-05-14 12:10:00,320.5,321.4,320.5,321.4,2
2026-05-14 12:17:00,308.0,308.0,302.85,302.85,3
2026-05-14 12:18:00,300.6,300.6,300.0,300.0,2
2026-05-14 12:37:00,307.2,307.2,307.2,307.2,1
2026-05-14 12:42:00,303.4,303.4,303.35,303.35,2
2026-05-14 12:44:00,299.85,299.85,299.85,299.85,1
2026-05-14 13:02:00,304.2,304.2,304.2,304.2,1
2026-05-14 13:03:00,299.8,299.8,299.8,299.8,1
2026-05-14 13:04:00,298.7,298.7,295.95,295.95,4
2026-05-14 13:17:00,301.8,302.0,301.8,302.0,3
2026-05-14 13:20:00,304.05,304.05,304.05,304.05,1
2026-05-14 13:44:00,292.25,292.25,292.25,292.25,1
2026-05-14 13:52:00,301.5,301.5,301.5,301.5,1
2026-05-14 13:57:00,293.8,293.8,293.8,293.8,1
2026-05-14 14:00:00,285.95,285.95,285.95,285.95,1
2026-05-14 14:02:00,282.0,282.0,282.0,282.0,2
2026-05-14 14:03:00,281.55,281.55,281.0,281.0,3
2026-05-14 14:06:00,280.0,280.0,280.0,280.0,1
2026-05-14 14:07:00,277.2,277.2,277.2,277.2,2
2026-05-14 14:08:00,275.0,275.0,275.0,275.0,1
2026-05-14 14:16:00,274.85,275.7,270.8,270.8,2
2026-05-14 14:17:00,276.35,276.35,274.4,274.4,4
2026-05-14 14:34:00,270.5,270.5,270.5,270.5,1
2026-05-14 14:35:00,272.3,272.3,272.3,272.3,1
2026-05-14 14:44:00,280.0,280.0,280.0,280.0,1
2026-05-14 15:04:00,285.45,286.0,285.45,286.0,3
2026-05-14 15:13:00,286.0,286.0,286.0,286.0,2
2026-05-14 15:15:00,287.9,287.9,287.9,287.9,1
2026-05-14 15:27:00,276.0,276.0,272.55,272.55,2
2026-05-14 15:28:00,273.0,273.0,273.0,273.0,5
2026-05-14 15:29:00,275.0,275.0,273.05,273.05,7
2026-05-15 09:15:00,268.6,277.0,268.6,277.0,1
2026-05-15 09:18:00,283.9,283.9,283.9,283.9,1
2026-05-15 09:21:00,286.9,286.9,286.9,286.9,1
2026-05-15 09:24:00,286.9,286.9,286.9,286.9,1
2026-05-15 09:29:00,284.45,286.9,280.0,286.9,7
2026-05-15 09:36:00,298.0,300.0,296.1,300.0,3
2026-05-15 09:37:00,303.4,315.0,303.4,303.8,9
2026-05-15 09:39:00,284.05,284.05,284.05,284.05,1
2026-05-15 09:42:00,274.6,274.6,273.0,273.0,8
2026-05-15 09:46:00,268.0,268.0,268.0,268.0,1
2026-05-15 09:51:00,269.0,269.0,269.0,269.0,1
2026-05-15 09:58:00,269.0,269.0,269.0,269.0,1
2026-05-15 10:09:00,290.0,290.0,289.8,289.8,3
2026-05-15 10:29:00,282.65,282.65,282.65,282.65,1
2026-05-15 10:38:00,291.0,291.0,291.0,291.0,2
2026-05-15 11:07:00,305.0,305.0,305.0,305.0,2
2026-05-15 11:09:00,300.0,300.0,300.0,300.0,1
2026-05-15 11:17:00,315.0,315.0,314.95,315.0,4
2026-05-15 11:27:00,318.0,318.0,318.0,318.0,1
2026-05-15 11:33:00,327.0,327.0,327.0,327.0,1
2026-05-15 11:35:00,323.1,323.1,323.1,323.1,1
2026-05-15 11:38:00,328.8,328.8,328.8,328.8,1
2026-05-15 11:42:00,320.0,320.0,320.0,320.0,1
2026-05-15 11:52:00,308.9,308.9,308.9,308.9,1
2026-05-15 11:59:00,317.4,317.4,317.4,317.4,1
2026-05-15 12:04:00,303.55,303.55,303.55,303.55,2
2026-05-15 12:05:00,302.55,303.8,302.55,303.8,2
2026-05-15 12:06:00,300.0,300.0,300.0,300.0,1
2026-05-15 12:07:00,299.95,299.95,299.95,299.95,2
2026-05-15 12:09:00,299.95,300.0,299.95,300.0,2
2026-05-15 12:19:00,309.6,309.6,309.6,309.6,2
2026-05-15 12:23:00,314.0,314.0,314.0,314.0,1
2026-05-15 12:26:00,315.0,315.0,315.0,315.0,1
2026-05-15 12:30:00,314.6,314.6,314.6,314.6,1
2026-05-15 12:45:00,291.0,291.3,291.0,291.3,2
2026-05-15 13:06:00,284.0,286.15,284.0,286.15,2
2026-05-15 13:09:00,285.9,285.9,283.2,283.2,2
2026-05-15 13:11:00,282.35,282.35,282.35,282.35,1
2026-05-15 13:16:00,286.95,286.95,286.95,286.95,2
2026-05-15 13:32:00,289.7,289.7,289.7,289.7,2
2026-05-15 13:34:00,286.0,286.0,286.0,286.0,1
2026-05-15 13:40:00,295.0,295.0,295.0,295.0,1
2026-05-15 13:48:00,306.85,306.85,306.85,306.85,1
2026-05-15 14:00:00,305.0,305.0,305.0,305.0,1
2026-05-15 14:03:00,310.0,310.0,310.0,310.0,1
2026-05-15 14:05:00,312.5,312.5,312.5,312.5,1
2026-05-15 14:15:00,306.25,306.25,306.25,306.25,1
2026-05-15 14:29:00,312.3,312.3,312.3,312.3,1
2026-05-15 14:33:00,319.85,319.85,319.85,319.85,1
